Variable,Nationality,Position,GP_17,MP_17,YC_17,RC_17,Goals17,Assists17,Shots17,Shots_On_Target17,Offsides17,Touches17,Passes17,Crosses17,Blocks17,Interceptions17,Tackles17,Clearances17,Jostles_Won17,Jostles_Lost17,Fouls17,Clean_Sheets17,Goals_Allowed17,Saves17,Punches17,High_Claims17,Goal_Kicks17,GP_16,MP_16,YC_16,RC_16,Goals16,Assists16,Shots16,Shots_On_Target16,Offsides16,Touches16,Passes16,Crosses16,Blocks16,Interceptions16,Tackles16,Clearances16,Jostles_Won16,Jostles_Lost16,Fouls16,Clean_Sheets16,Goals_Allowed16,Saves16,Punches16,High_Claims16,Goal_Kicks16,All_GP,All_MP,All_YC,All_RC,AllGoals,AllAssists,AllShots,AllShots_On_Target,AllOffsides,AllTouches,AllPasses,AllCrosses,AllBlocks,AllInterceptions,AllTackles,AllClearances,AllJostles_Won,AllJostles_Lost,AllFouls,AllClean_Sheets,AllGoals_Allowed,AllSaves,AllPunches,AllHigh_Claims,AllGoal_Kicks
Hugo Lloris, France,GK,36,3240,1,0,0,0,0,0,0,1358,996,0,0,2,1,54,9,2,1,15,35,86,20,17,227,34,3005,0,0,0,0,0,0,0,1365,1060,0,0,1,0,32,6,1,0,15,24,78,11,20,213,70,6245,1,0,0,0,0,0,0,2723,2056,0,0,3,1,86,15,3,1,30,59,164,31,37,440
Ibrahim Afellay, Netherlands,M,6,163,1,0,0,0,0,0,0,94,81,0,0,1,3,1,0,0,1,0,0,0,0,0,0,12,377,0,0,0,0,6,1,2,262,189,15,0,4,3,1,1,4,3,0,0,0,0,0,0,18,540,1,0,0,0,6,1,2,356,270,15,0,5,6,2,1,4,4,0,0,0,0,0,0
Idrissa Gueye, Senegal,M,33,2757,6,1,2,1,23,7,1,2103,1566,11,9,62,117,42,33,33,50,0,0,0,0,0,0,33,2685,11,0,1,1,25,6,0,2420,1885,12,9,81,135,39,32,19,51,0,0,0,0,0,0,66,5442,17,1,3,2,48,13,1,4523,3451,23,18,143,252,81,65,52,101,0,0,0,0,0,0
Ilkay Gundogan, Germany,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,709,0,0,3,1,16,4,0,617,505,7,0,9,10,4,2,5,2,0,0,0,0,0,0,10,709,0,0,3,1,16,4,0,617,505,7,0,9,10,4,2,5,2,0,0,0,0,0,0
Islam Slimani, Algeria,F,16,370,1,0,1,1,7,4,4,232,157,7,0,1,2,3,13,27,3,0,0,0,0,0,0,23,1279,1,0,7,4,35,13,11,614,423,3,3,3,12,3,54,79,27,0,0,0,0,0,0,39,1649,2,0,8,5,42,17,15,846,580,10,3,4,14,6,67,106,30,0,0,0,0,0,0
Jack Butland, England,GK,35,3150,0,0,0,0,0,0,0,1516,1169,0,0,1,1,40,8,0,0,6,61,144,14,25,338,5,450,0,0,0,0,0,0,0,195,140,0,0,0,0,3,2,0,0,2,8,17,1,10,40,40,3600,0,0,0,0,0,0,0,1711,1309,0,0,1,1,43,10,0,0,8,69,161,15,35,378
Jack Cork, England,M,38,3420,7,0,2,1,15,5,1,2106,1584,19,15,41,60,81,58,78,23,0,0,0,0,0,0,30,2233,7,0,0,0,18,5,1,1700,1285,20,8,56,59,48,37,49,25,0,0,0,0,0,0,68,5653,14,0,2,1,33,10,2,3806,2869,39,23,97,119,129,95,127,48,0,0,0,0,0,0
Jack Stephens, England,D,22,1979,6,1,2,0,11,4,2,1276,928,9,18,41,29,105,45,34,13,0,0,0,0,0,0,17,1469,1,0,0,1,4,0,1,948,729,4,19,24,22,79,29,39,15,0,0,0,0,0,0,39,3448,7,1,2,1,15,4,3,2224,1657,13,37,65,51,184,74,73,28,0,0,0,0,0,0
Jack Wilshere, England,M,20,1187,6,0,1,3,15,5,1,1035,808,3,2,8,15,5,7,7,15,0,0,0,0,0,0,29,1949,4,0,0,2,27,10,0,1443,1068,26,6,13,27,11,9,10,21,0,0,0,0,0,0,49,3136,10,0,1,5,42,15,1,2478,1876,29,8,21,42,16,16,17,36,0,0,0,0,0,0
Jake Livermore, England,M,34,2675,5,0,2,2,15,4,1,1463,1103,16,9,26,72,28,23,37,42,0,0,0,0,0,0,37,2976,5,0,1,1,33,7,1,2068,1605,7,25,49,79,64,33,32,33,0,0,0,0,0,0,71,5651,10,0,3,3,48,11,2,3531,2708,23,34,75,151,92,56,69,75,0,0,0,0,0,0
James Collins, Wales,D,13,1050,3,0,1,0,4,1,0,575,389,0,10,16,15,118,47,34,13,0,0,0,0,0,0,22,1654,3,0,2,0,11,4,1,848,580,0,18,38,21,147,59,28,7,0,0,0,0,0,0,35,2704,6,0,3,0,15,5,1,1423,969,0,28,54,36,265,106,62,20,0,0,0,0,0,0
James McArthur, Scotland,M,33,2433,5,0,5,1,30,11,0,1511,1070,11,2,36,58,37,39,52,45,0,0,0,0,0,0,29,2010,5,0,5,3,23,6,4,1224,854,26,6,26,59,24,32,41,41,0,0,0,0,0,0,62,4443,10,0,10,4,53,17,4,2735,1924,37,8,62,117,61,71,93,86,0,0,0,0,0,0
James McCarthy, Ireland,M,4,206,0,0,0,0,1,0,0,138,97,2,2,5,9,3,4,4,3,0,0,0,0,0,0,12,612,2,0,1,1,6,3,0,363,247,4,3,10,19,8,11,5,10,0,0,0,0,0,0,16,818,2,0,1,1,7,3,0,501,344,6,5,15,28,11,15,9,13,0,0,0,0,0,0
James McClean, Ireland,M,30,1395,7,0,1,0,30,6,5,736,359,88,4,19,40,15,16,22,35,0,0,0,0,0,0,34,1464,9,0,1,2,23,13,6,736,350,97,3,17,55,19,31,43,31,0,0,0,0,0,0,64,2859,16,0,2,2,53,19,11,1472,709,185,7,36,95,34,47,65,66,0,0,0,0,0,0
James Milner, England,M,32,1762,3,0,0,3,21,5,0,1904,1480,123,5,21,58,22,23,18,29,0,0,0,0,0,0,36,3159,5,0,7,3,36,17,2,3323,2168,259,5,44,94,100,56,65,38,0,0,0,0,0,0,68,4921,8,0,7,6,57,22,2,5227,3648,382,10,65,152,122,79,83,67,0,0,0,0,0,0
James Morrison, Scotland,M,4,206,0,0,1,0,4,2,0,110,88,2,1,1,2,0,0,2,0,0,0,0,0,0,0,31,1738,3,0,5,2,23,8,2,1029,764,22,4,23,26,11,9,25,19,0,0,0,0,0,0,35,1944,3,0,6,2,27,10,2,1139,852,24,5,24,28,11,9,27,19,0,0,0,0,0,0
James Tarkowski, England,D,31,2790,5,0,0,0,18,5,3,1577,1091,4,43,50,46,219,147,62,25,0,0,0,0,0,0,19,556,1,0,0,0,5,0,2,385,263,2,7,11,19,37,26,19,10,0,0,0,0,0,0,50,3346,6,0,0,0,23,5,5,1962,1354,6,50,61,65,256,173,81,35,0,0,0,0,0,0
James Tomkins, England,D,28,2388,8,0,3,0,23,10,1,1322,888,1,12,63,47,213,116,66,20,0,0,0,0,0,0,24,1976,4,0,3,0,14,4,0,1017,728,3,13,37,28,124,58,40,10,0,0,0,0,0,0,52,4364,12,0,6,0,37,14,1,2339,1616,4,25,100,75,337,174,106,30,0,0,0,0,0,0
James Ward-Prowse, England,M,30,1714,3,0,3,3,28,14,0,1120,747,159,1,8,23,18,21,50,18,0,0,0,0,0,0,30,1884,4,0,4,4,42,17,1,1378,966,143,2,19,29,32,21,52,27,0,0,0,0,0,0,60,3598,7,0,7,7,70,31,1,2498,1713,302,3,27,52,50,42,102,45,0,0,0,0,0,0
Jamie Vardy, England,F,37,3255,3,0,20,1,71,35,44,842,463,39,1,2,15,17,76,124,29,0,0,0,0,0,0,35,2808,2,0,13,5,53,26,25,872,529,47,0,8,15,9,90,121,26,0,0,0,0,0,0,72,6063,5,0,33,6,124,61,69,1714,992,86,1,10,30,26,166,245,55,0,0,0,0,0,0
Jan Vertonghen, Belgium,D,36,3205,4,0,0,0,24,4,1,3016,2488,15,11,60,64,170,118,66,20,0,0,0,0,0,0,33,2897,5,0,0,0,14,4,0,2552,2051,9,21,42,43,230,106,34,21,0,0,0,0,0,0,69,6102,9,0,0,0,38,8,1,5568,4539,24,32,102,107,400,224,100,41,0,0,0,0,0,0
Jason Puncheon, England,M,10,569,5,0,0,0,10,2,0,337,238,20,0,5,13,4,4,8,14,0,0,0,0,0,0,36,3094,9,0,0,5,45,11,1,2110,1468,147,6,37,74,36,26,14,62,0,0,0,0,0,0,46,3663,14,0,0,5,55,13,1,2447,1706,167,6,42,87,40,30,22,76,0,0,0,0,0,0
Javier Manquillo, Spain,D,21,1759,2,0,0,1,2,0,2,998,540,30,6,18,36,49,22,19,24,0,0,0,0,0,0,20,1428,2,0,1,0,3,1,5,818,425,34,5,24,30,49,17,14,14,0,0,0,0,0,0,41,3187,4,0,1,1,5,1,7,1816,965,64,11,42,66,98,39,33,38,0,0,0,0,0,0
Jay Fulton, Scotland,M,2,17,1,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,692,2,0,0,0,3,0,0,431,323,5,4,7,31,15,16,22,11,0,0,0,0,0,0,13,709,3,0,0,0,3,0,0,441,331,5,4,7,31,15,16,22,13,0,0,0,0,0,0
Jay Rodriguez, England,F,37,2823,2,0,7,1,69,25,18,1232,704,30,2,19,31,37,76,84,43,0,0,0,0,0,0,24,881,0,0,5,2,33,15,9,395,234,8,1,2,6,15,40,43,15,0,0,0,0,0,0,61,3704,2,0,12,3,102,40,27,1627,938,38,3,21,37,52,116,127,58,0,0,0,0,0,0
Jeff Hendrick, Ireland,M,34,2340,1,0,2,2,25,6,16,1075,802,23,2,8,16,20,15,58,19,0,0,0,0,0,0,32,2695,6,1,2,1,31,6,4,1366,1006,17,11,39,33,33,35,42,43,0,0,0,0,0,0,66,5035,7,1,4,3,56,12,20,2441,1808,40,13,47,49,53,50,100,62,0,0,0,0,0,0
Jeffrey Schlupp, Ghana,D,24,1748,3,0,0,1,15,2,0,1146,654,31,8,24,57,54,39,51,18,0,0,0,0,0,0,19,1136,0,0,0,0,3,0,0,681,349,15,4,26,35,49,23,18,4,0,0,0,0,0,0,43,2884,3,0,0,1,18,2,0,1827,1003,46,12,50,92,103,62,69,22,0,0,0,0,0,0
Jeremy Pied, France,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,126,0,0,0,0,3,0,0,116,70,13,1,2,3,2,0,4,1,0,0,0,0,0,0,4,126,0,0,0,0,3,0,0,116,70,13,1,2,3,2,0,4,1,0,0,0,0,0,0
Jermain Defoe, England,F,24,1083,1,0,4,1,27,15,9,260,131,5,0,4,12,0,2,18,12,0,0,0,0,0,0,37,3322,1,0,15,2,99,31,36,829,456,19,2,3,20,2,2,21,24,0,0,0,0,0,0,61,4405,2,0,19,3,126,46,45,1089,587,24,2,7,32,2,4,39,36,0,0,0,0,0,0
Jerome Sinclair, England,F,4,29,0,0,0,0,0,0,0,16,8,0,0,1,0,0,0,1,1,0,0,0,0,0,0,5,114,0,0,0,0,1,1,0,42,24,0,0,0,1,1,0,5,4,0,0,0,0,0,0,9,143,0,0,0,0,1,1,0,58,32,0,0,1,1,1,0,6,5,0,0,0,0,0,0
Jesse Lingard, England,M,33,1823,2,0,8,5,56,23,4,1307,932,46,3,9,30,10,5,26,34,0,0,0,0,0,0,25,1366,3,0,1,2,37,13,4,997,727,25,1,14,17,8,5,15,26,0,0,0,0,0,0,58,3189,5,0,9,7,93,36,8,2304,1659,71,4,23,47,18,10,41,60,0,0,0,0,0,0
Joe Allen, Wales,M,36,3142,8,0,2,6,24,4,0,1976,1358,37,9,58,96,54,36,61,49,0,0,0,0,0,0,36,2936,9,0,6,2,40,18,0,1924,1286,51,6,62,86,34,22,52,27,0,0,0,0,0,0,72,6078,17,0,8,8,64,22,0,3900,2644,88,15,120,182,88,58,113,76,0,0,0,0,0,0
Joel Matip, Cameroon,D,25,1995,3,0,1,0,11,2,1,1919,1655,0,15,35,35,96,57,21,19,0,0,0,0,0,0,29,2456,3,0,1,0,26,4,0,2062,1699,5,12,47,47,153,63,40,14,0,0,0,0,0,0,54,4451,6,0,2,0,37,6,1,3981,3354,5,27,82,82,249,120,61,33,0,0,0,0,0,0
Joel Ward, England,D,19,1616,4,0,0,1,5,1,1,1200,681,46,11,28,35,61,33,25,25,0,0,0,0,0,0,38,3418,7,0,0,1,14,2,0,2341,1300,78,11,59,89,133,62,43,37,0,0,0,0,0,0,57,5034,11,0,0,2,19,3,1,3541,1981,124,22,87,124,194,95,68,62,0,0,0,0,0,0
Johann Berg Gudmundsson, Iceland,M,35,2840,2,0,2,8,54,18,2,1459,805,213,1,34,43,33,41,49,18,0,0,0,0,0,0,20,994,1,0,1,2,17,8,1,518,296,72,4,18,20,20,13,19,4,0,0,0,0,0,0,55,3834,3,0,3,10,71,26,3,1977,1101,285,5,52,63,53,54,68,22,0,0,0,0,0,0
John Stones, England,D,18,1306,0,0,0,0,11,4,0,1374,1246,1,5,19,15,41,33,11,6,0,0,0,0,0,0,27,2013,1,0,0,0,13,2,0,1763,1464,0,14,39,26,115,49,27,8,0,0,0,0,0,0,45,3319,1,0,0,0,24,6,0,3137,2710,1,19,58,41,156,82,38,14,0,0,0,0,0,0
Jonathan Walters, Ireland,F,3,36,0,0,0,0,1,0,0,18,9,1,0,0,0,1,2,1,0,0,0,0,0,0,0,23,1296,1,0,4,2,25,12,12,566,331,36,4,4,8,27,66,68,13,0,0,0,0,0,0,26,1332,1,0,4,2,26,12,12,584,340,37,4,4,8,28,68,69,13,0,0,0,0,0,0
Jonjoe Kenny, England,D,19,1589,2,0,0,1,3,1,0,1106,587,46,7,28,41,73,38,31,17,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,15,9,4,0,0,0,0,1,0,1,0,0,0,0,0,0,20,1601,2,0,0,1,3,1,0,1121,596,50,7,28,41,73,39,31,18,0,0,0,0,0,0
Jonny Evans, Northern Ireland,D,28,2273,7,0,2,2,10,5,0,1292,961,4,13,48,29,126,54,34,26,0,0,0,0,0,0,31,2638,8,0,2,1,9,5,0,1377,942,9,19,74,42,151,45,29,31,0,0,0,0,0,0,59,4911,15,0,4,3,19,10,0,2669,1903,13,32,122,71,277,99,63,57,0,0,0,0,0,0
Jordan Ayew, Ghana,F,36,2856,2,1,7,2,66,21,8,1616,835,45,3,24,82,17,52,122,63,0,0,0,0,0,0,14,863,1,0,1,3,12,6,6,461,240,19,0,7,14,5,7,37,18,0,0,0,0,0,0,50,3719,3,1,8,5,78,27,14,2077,1075,64,3,31,96,22,59,159,81,0,0,0,0,0,0
Jordan Henderson, England,M,27,2172,1,0,1,1,15,3,0,2350,2085,25,2,31,51,20,28,11,26,0,0,0,0,0,0,24,2118,8,0,1,4,17,4,0,2423,2057,65,3,39,88,40,26,23,28,0,0,0,0,0,0,51,4290,9,0,2,5,32,7,0,4773,4142,90,5,70,139,60,54,34,54,0,0,0,0,0,0
Jordan Pickford, England,GK,38,3420,0,0,0,0,1,0,0,1556,1162,0,0,2,0,48,18,1,1,10,58,121,22,27,340,29,2610,0,0,0,0,0,0,0,1294,954,0,0,3,0,35,11,1,0,4,50,135,22,46,306,67,6030,0,0,0,0,1,0,0,2850,2116,0,0,5,0,83,29,2,1,14,108,256,44,73,646
Jordon Ibe, England,M,32,2000,1,0,2,6,54,17,2,1174,695,109,0,10,14,9,4,15,10,0,0,0,0,0,0,25,1057,0,0,0,0,15,1,1,665,378,43,2,9,12,3,0,7,7,0,0,0,0,0,0,57,3057,1,0,2,6,69,18,3,1839,1073,152,2,19,26,12,4,22,17,0,0,0,0,0,0
Jose Fonte, Portugal,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2845,4,0,0,0,17,3,0,2053,1604,5,23,70,47,187,79,45,27,0,0,0,0,0,0,33,2845,4,0,0,0,17,3,0,2053,1604,5,23,70,47,187,79,45,27,0,0,0,0,0,0
Jose Holebas, Greece,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2909,14,0,2,4,28,7,1,2198,1158,164,10,55,62,114,47,28,43,0,0,0,0,0,0,33,2909,14,0,2,4,28,7,1,2198,1158,164,10,55,62,114,47,28,43,0,0,0,0,0,0
Josh Sims, England,M,6,161,0,0,0,0,11,5,2,104,62,3,0,1,4,0,4,4,1,0,0,0,0,0,0,7,206,0,0,0,1,5,3,0,129,81,8,0,1,3,1,2,7,2,0,0,0,0,0,0,13,367,0,0,0,1,16,8,2,233,143,11,0,2,7,1,6,11,3,0,0,0,0,0,0
Josh Tymon, England,D,3,162,0,0,0,0,0,0,0,112,81,4,0,1,5,2,0,0,0,0,0,0,0,0,0,5,324,1,0,0,0,0,0,0,217,135,7,1,5,8,17,4,5,4,0,0,0,0,0,0,8,486,1,0,0,0,0,0,0,329,216,11,1,6,13,19,4,5,4,0,0,0,0,0,0
Joshua King, Norway,F,33,2453,3,0,8,3,51,21,4,1291,689,34,3,4,36,14,68,82,45,0,0,0,0,0,0,36,2719,1,0,16,2,67,31,5,1391,715,42,6,19,49,39,39,69,58,0,0,0,0,0,0,69,5172,4,0,24,5,118,52,9,2682,1404,76,9,23,85,53,107,151,103,0,0,0,0,0,0
Juan Mata, Spain,M,28,1930,1,0,3,5,28,10,18,1538,1215,111,0,15,18,7,3,8,12,0,0,0,0,0,0,25,1628,3,0,6,3,40,21,9,1283,990,93,0,12,22,8,4,6,10,0,0,0,0,0,0,53,3558,4,0,9,8,68,31,27,2821,2205,204,0,27,40,15,7,14,22,0,0,0,0,0,0
Julien Ngoy, Belgium,F,1,19,0,0,0,0,0,0,0,6,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,44,0,0,0,0,2,0,0,31,11,3,0,0,2,0,0,1,0,0,0,0,0,0,0,6,63,0,0,0,0,2,0,0,37,16,3,0,0,3,0,0,1,1,0,0,0,0,0,0
Junior Stanislas, England,M,19,1296,1,0,5,2,45,20,1,775,489,71,6,6,16,11,10,25,6,0,0,0,0,0,0,21,1476,1,0,7,5,42,18,5,886,615,70,4,8,14,14,15,34,8,0,0,0,0,0,0,40,2772,2,0,12,7,87,38,6,1661,1104,141,10,14,30,25,25,59,14,0,0,0,0,0,0
Kasper Schmeichel, Denmark,GK,33,2966,3,0,0,0,0,0,0,1323,1032,0,0,0,1,38,12,0,0,8,47,93,20,28,273,30,2667,1,0,0,0,0,0,0,1172,888,0,0,1,2,28,11,0,0,8,47,113,12,39,278,63,5633,4,0,0,0,0,0,0,2495,1920,0,0,1,3,66,23,0,0,16,94,206,32,67,551
Kelechi Iheanacho, Nigeria,F,21,824,2,0,3,3,29,11,4,390,246,5,2,3,9,4,6,18,17,0,0,0,0,0,0,20,527,0,0,4,3,22,7,6,296,192,4,0,0,6,2,5,25,8,0,0,0,0,0,0,41,1351,2,0,7,6,51,18,10,686,438,9,2,3,15,6,11,43,25,0,0,0,0,0,0
Kenedy, Brazil,M,13,1030,1,0,2,2,23,5,0,643,351,38,1,14,31,9,2,17,15,0,0,0,0,0,0,2,90,0,0,0,0,3,0,0,60,29,2,0,2,3,0,0,0,2,0,0,0,0,0,0,15,1120,1,0,2,2,26,5,0,703,380,40,1,16,34,9,2,17,17,0,0,0,0,0,0
Kevin De Bruyne, Belgium,M,37,3083,2,0,8,16,94,39,2,3542,2693,248,2,25,62,12,15,16,30,0,0,0,0,0,0,36,2883,4,0,6,18,86,21,2,2586,1801,275,1,24,50,8,14,27,37,0,0,0,0,0,0,73,5966,6,0,14,34,180,60,4,6128,4494,523,3,49,112,20,29,43,67,0,0,0,0,0,0
Kevin Long, Ireland,D,16,1440,1,0,1,2,10,2,1,810,541,2,14,19,32,127,80,58,15,0,0,0,0,0,0,3,270,0,0,0,0,1,0,0,141,108,0,4,4,4,15,8,4,1,0,0,0,0,0,0,19,1710,1,0,1,2,11,2,1,951,649,2,18,23,36,142,88,62,16,0,0,0,0,0,0
Kevin Mirallas, Belgium,F,5,137,1,0,0,0,4,2,0,82,54,4,0,0,4,3,2,2,1,0,0,0,0,0,0,35,2080,2,0,4,6,61,23,4,1198,720,136,0,7,18,11,17,38,27,0,0,0,0,0,0,40,2217,3,0,4,6,65,25,4,1280,774,140,0,7,22,14,19,40,28,0,0,0,0,0,0
Kevin Wimmer, Austria,D,17,1321,5,0,0,0,1,0,0,782,504,2,12,30,24,78,19,24,20,0,0,0,0,0,0,5,356,3,0,0,0,0,0,0,264,225,1,1,4,3,13,8,3,4,0,0,0,0,0,0,22,1677,8,0,0,0,1,0,0,1046,729,3,13,34,27,91,27,27,24,0,0,0,0,0,0
Ki Sung-yueng, South Korea,M,25,1869,2,0,2,2,20,6,1,1086,836,62,1,32,25,20,5,21,10,0,0,0,0,0,0,23,1287,3,0,0,1,9,1,1,868,687,9,3,21,25,19,7,6,18,0,0,0,0,0,0,48,3156,5,0,2,3,29,7,2,1954,1523,71,4,53,50,39,12,27,28,0,0,0,0,0,0
Kieran Gibbs, England,D,33,2830,3,0,0,1,9,1,1,1750,1014,74,12,48,41,82,42,39,22,0,0,0,0,0,0,11,702,3,0,0,1,5,2,0,589,372,31,0,10,12,34,20,25,11,0,0,0,0,0,0,44,3532,6,0,0,2,14,3,1,2339,1386,105,12,58,53,116,62,64,33,0,0,0,0,0,0
Kieran Trippier, England,D,24,1913,1,0,0,5,7,1,3,1886,1266,122,6,20,52,45,36,29,18,0,0,0,0,0,0,12,566,1,0,0,5,3,0,1,535,346,29,3,7,17,13,4,5,8,0,0,0,0,0,0,36,2479,2,0,0,10,10,1,4,2421,1612,151,9,27,69,58,40,34,26,0,0,0,0,0,0
Kurt Zouma, France,D,34,2888,1,0,1,0,20,8,1,1699,1021,11,23,61,50,231,109,31,19,0,0,0,0,0,0,9,246,0,0,0,1,1,0,0,179,128,2,1,5,8,11,5,2,2,0,0,0,0,0,0,43,3134,1,0,1,1,21,8,1,1878,1149,13,24,66,58,242,114,33,21,0,0,0,0,0,0
Kyle Naughton, England,D,34,3033,1,0,0,2,12,1,0,2651,1638,62,13,60,92,102,69,68,31,0,0,0,0,0,0,31,2718,5,0,1,0,20,5,0,2282,1392,79,15,41,76,115,65,38,25,0,0,0,0,0,0,65,5751,6,0,1,2,32,6,0,4933,3030,141,28,101,168,217,134,106,56,0,0,0,0,0,0
Kyle Walker, England,D,32,2787,2,1,0,6,13,1,2,3011,2362,56,2,29,47,67,70,33,17,0,0,0,0,0,0,33,2704,8,0,0,5,19,5,3,2366,1464,96,7,38,72,94,60,28,36,0,0,0,0,0,0,65,5491,10,1,0,11,32,6,5,5377,3826,152,9,67,119,161,130,61,53,0,0,0,0,0,0
Laurent Koscielny, France,D,25,2227,4,0,2,0,9,2,2,2113,1745,5,15,54,43,134,80,61,14,0,0,0,0,0,0,33,2823,4,0,2,0,9,4,2,2131,1667,3,22,90,48,202,116,78,19,0,0,0,0,0,0,58,5050,8,0,4,0,18,6,4,4244,3412,8,37,144,91,336,196,139,33,0,0,0,0,0,0
Lee Chung-yong, South Korea,M,7,132,0,0,0,0,1,0,0,97,67,7,0,2,2,0,2,4,1,0,0,0,0,0,0,15,466,0,0,0,1,4,2,0,287,199,14,0,4,15,2,5,10,5,0,0,0,0,0,0,22,598,0,0,0,1,5,2,0,384,266,21,0,6,17,2,7,14,6,0,0,0,0,0,0
Lee Grant, England,GK,3,270,0,0,0,0,0,0,0,104,78,0,0,0,1,0,0,0,0,0,7,8,0,1,23,28,2520,1,0,0,0,0,0,0,1146,881,0,0,0,0,34,10,0,0,9,34,91,21,24,278,31,2790,1,0,0,0,0,0,0,1250,959,0,0,0,1,34,10,0,0,9,41,99,21,25,301
Leighton Baines, England,D,22,1910,1,0,2,3,7,4,1,1204,754,75,6,25,25,47,14,20,7,0,0,0,0,0,0,32,2821,4,0,2,3,15,5,0,2032,1309,112,6,45,63,65,27,34,35,0,0,0,0,0,0,54,4731,5,0,4,6,22,9,1,3236,2063,187,12,70,88,112,41,54,42,0,0,0,0,0,0
Leon Britton, England,M,5,304,1,0,0,0,0,0,0,157,137,1,1,1,6,1,0,4,7,0,0,0,0,0,0,16,1176,3,0,0,0,0,0,0,853,727,0,5,19,23,18,7,2,6,0,0,0,0,0,0,21,1480,4,0,0,0,0,0,0,1010,864,1,6,20,29,19,7,6,13,0,0,0,0,0,0
Leonardo Ulloa, Argentina,F,14,281,0,0,1,0,3,2,4,206,134,0,0,0,4,4,26,46,7,0,0,0,0,0,0,16,435,0,0,1,0,11,5,4,344,233,1,0,3,11,8,48,65,20,0,0,0,0,0,0,30,716,0,0,2,0,14,7,8,550,367,1,0,3,15,12,74,111,27,0,0,0,0,0,0
Leroy Fer, Netherlands,M,20,1399,5,0,1,1,12,3,1,873,632,8,4,12,44,23,42,22,28,0,0,0,0,0,0,34,2403,9,0,6,2,36,11,1,1669,1230,13,8,23,55,48,77,42,48,0,0,0,0,0,0,54,3802,14,0,7,3,48,14,2,2542,1862,21,12,35,99,71,119,64,76,0,0,0,0,0,0
Leroy Sane, Germany,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1786,4,0,5,3,33,14,12,1117,691,52,1,17,35,5,19,20,14,0,0,0,0,0,0,26,1786,4,0,5,3,33,14,12,1117,691,52,1,17,35,5,19,20,14,0,0,0,0,0,0
