Variable,Nationality,Position,GP_17,MP_17,YC_17,RC_17,Goals17,Assists17,Shots17,Shots_On_Target17,Offsides17,Touches17,Passes17,Crosses17,Blocks17,Interceptions17,Tackles17,Clearances17,Jostles_Won17,Jostles_Lost17,Fouls17,Clean_Sheets17,Goals_Allowed17,Saves17,Punches17,High_Claims17,Goal_Kicks17,GP_16,MP_16,YC_16,RC_16,Goals16,Assists16,Shots16,Shots_On_Target16,Offsides16,Touches16,Passes16,Crosses16,Blocks16,Interceptions16,Tackles16,Clearances16,Jostles_Won16,Jostles_Lost16,Fouls16,Clean_Sheets16,Goals_Allowed16,Saves16,Punches16,High_Claims16,Goal_Kicks16,All_GP,All_MP,All_YC,All_RC,AllGoals,AllAssists,AllShots,AllShots_On_Target,AllOffsides,AllTouches,AllPasses,AllCrosses,AllBlocks,AllInterceptions,AllTackles,AllClearances,AllJostles_Won,AllJostles_Lost,AllFouls,AllClean_Sheets,AllGoals_Allowed,AllSaves,AllPunches,AllHigh_Claims,AllGoal_Kicks
Lewis Cook, England,M,29,2239,5,0,0,2,18,2,1,1637,1228,29,12,35,67,21,14,27,33,0,0,0,0,0,0,6,431,1,0,0,2,5,2,0,343,279,2,3,7,10,2,1,11,2,0,0,0,0,0,0,35,2670,6,0,0,4,23,4,1,1980,1507,31,15,42,77,23,15,38,35,0,0,0,0,0,0
Loris Karius, Germany,GK,19,1710,1,0,0,0,0,0,0,698,521,0,0,1,0,15,8,1,2,10,14,31,11,10,103,10,900,0,0,0,0,0,0,0,343,268,0,0,1,0,7,1,0,0,3,12,20,4,5,47,29,2610,1,0,0,0,0,0,0,1041,789,0,0,2,0,22,9,1,2,13,26,51,15,15,150
Luciano Narsingh, Netherlands,M,18,617,0,0,1,0,9,5,4,333,194,23,0,3,7,3,2,15,3,0,0,0,0,0,0,13,410,0,0,0,3,2,0,1,231,123,27,0,3,3,1,3,14,3,0,0,0,0,0,0,31,1027,0,0,1,3,11,5,5,564,317,50,0,6,10,4,5,29,6,0,0,0,0,0,0
Luka Milivojevic, Serbia,M,36,3081,8,0,10,1,42,17,1,2198,1652,39,12,71,85,74,49,45,69,0,0,0,0,0,0,14,1227,4,0,2,0,14,4,0,678,490,6,5,39,29,24,27,24,27,0,0,0,0,0,0,50,4308,12,0,12,1,56,21,1,2876,2142,45,17,110,114,98,76,69,96,0,0,0,0,0,0
Lukasz Fabianski, Poland,GK,38,3420,0,0,0,0,0,0,0,1496,1113,0,0,0,0,25,15,4,1,9,56,137,15,42,358,37,3330,1,0,0,0,0,0,0,1336,928,0,0,1,3,19,15,0,1,8,69,117,16,71,308,75,6750,1,0,0,0,0,0,0,2832,2041,0,0,1,3,44,30,4,2,17,125,254,31,113,666
Luke Shaw, England,D,11,788,2,0,0,0,12,5,0,699,477,30,2,4,18,19,17,19,4,0,0,0,0,0,0,11,692,1,0,0,1,6,1,0,565,382,21,1,13,12,27,11,6,7,0,0,0,0,0,0,22,1480,3,0,0,1,18,6,0,1264,859,51,3,17,30,46,28,25,11,0,0,0,0,0,0
Lys Mousset, France,F,23,585,1,0,2,0,22,5,0,333,161,9,2,3,9,8,8,22,11,0,0,0,0,0,0,11,265,0,0,0,0,10,3,1,141,63,3,1,0,4,5,7,7,6,0,0,0,0,0,0,34,850,1,0,2,0,32,8,1,474,224,12,3,3,13,13,15,29,17,0,0,0,0,0,0
Mamadou Sakho, France,D,19,1600,1,0,1,2,3,1,0,968,739,0,11,30,21,99,41,35,3,0,0,0,0,0,0,8,687,0,0,0,0,2,0,0,327,225,1,3,15,3,47,19,17,1,0,0,0,0,0,0,27,2287,1,0,1,2,5,1,0,1295,964,1,14,45,24,146,60,52,4,0,0,0,0,0,0
Mame Biram Diouf, Senegal,M,35,2601,6,0,6,2,59,20,23,1048,558,34,0,14,48,70,145,160,38,0,0,0,0,0,0,27,1382,3,0,1,2,20,4,10,707,363,26,3,18,35,37,81,70,28,0,0,0,0,0,0,62,3983,9,0,7,4,79,24,33,1755,921,60,3,32,83,107,226,230,66,0,0,0,0,0,0
Manolo Gabbiadini, Italy,F,28,1074,2,0,5,0,22,10,10,318,223,5,0,4,3,6,14,36,14,0,0,0,0,0,0,11,731,1,0,4,0,29,11,10,204,117,3,0,3,2,10,9,22,8,0,0,0,0,0,0,39,1805,3,0,9,0,51,21,20,522,340,8,0,7,5,16,23,58,22,0,0,0,0,0,0
Manuel Lanzini, Argentina,M,27,2048,4,0,5,6,44,18,3,1669,1214,82,1,30,20,5,3,10,9,0,0,0,0,0,0,35,2711,9,0,8,2,69,21,7,2169,1581,72,1,45,44,10,4,14,21,0,0,0,0,0,0,62,4759,13,0,13,8,113,39,10,3838,2795,154,2,75,64,15,7,24,30,0,0,0,0,0,0
Marc Albrighton, England,M,34,2543,5,1,2,7,20,6,2,1709,1005,217,4,27,52,25,11,15,20,0,0,0,0,0,0,33,2423,5,0,2,6,21,7,2,1533,874,212,2,35,50,30,7,30,21,0,0,0,0,0,0,67,4966,10,1,4,13,41,13,4,3242,1879,429,6,62,102,55,18,45,41,0,0,0,0,0,0
Marc Pugh, England,M,20,982,2,0,0,0,19,5,2,678,469,32,1,13,7,13,8,16,7,0,0,0,0,0,0,21,1331,1,0,2,2,18,6,1,780,497,40,2,12,22,21,21,17,7,0,0,0,0,0,0,41,2313,3,0,2,2,37,11,3,1458,966,72,3,25,29,34,29,33,14,0,0,0,0,0,0
Marcos Alonso, Spain,D,33,2860,6,0,7,2,65,23,8,2179,1347,96,5,47,51,60,61,54,26,0,0,0,0,0,0,31,2694,2,0,6,3,46,16,3,2081,1250,102,5,44,56,76,73,41,25,0,0,0,0,0,0,64,5554,8,0,13,5,111,39,11,4260,2597,198,10,91,107,136,134,95,51,0,0,0,0,0,0
Marcos Rojo, Argentina,D,9,640,6,0,0,0,5,1,0,463,358,1,6,7,7,54,16,7,8,0,0,0,0,0,0,21,1660,5,0,1,0,14,4,0,1260,951,10,6,33,29,143,46,28,24,0,0,0,0,0,0,30,2300,11,0,1,0,19,5,0,1723,1309,11,12,40,36,197,62,35,32,0,0,0,0,0,0
Marcus Rashford, England,F,35,1807,3,0,7,5,61,21,9,1030,576,81,0,8,14,14,18,25,21,0,0,0,0,0,0,32,1701,3,0,5,1,44,17,11,977,544,83,0,12,16,6,4,24,16,0,0,0,0,0,0,67,3508,6,0,12,6,105,38,20,2007,1120,164,0,20,30,20,22,49,37,0,0,0,0,0,0
Mark Noble, England,M,29,2405,6,0,4,0,15,6,2,1705,1324,23,10,47,61,22,10,14,28,0,0,0,0,0,0,30,2398,10,0,3,0,25,7,0,1763,1435,20,6,37,49,11,3,8,27,0,0,0,0,0,0,59,4803,16,0,7,0,40,13,2,3468,2759,43,16,84,110,33,13,22,55,0,0,0,0,0,0
Marko Arnautovic, Austria,F,31,2322,5,1,11,6,71,33,43,1179,684,61,3,13,21,32,22,40,35,0,0,0,0,0,0,32,2724,9,1,6,5,60,19,32,1478,861,110,2,25,32,20,13,32,41,0,0,0,0,0,0,63,5046,14,2,17,11,131,52,75,2657,1545,171,5,38,53,52,35,72,76,0,0,0,0,0,0
Marko Grujic, Serbia,M,3,14,0,0,0,0,0,0,0,17,14,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,38,1,0,0,0,4,2,0,46,33,0,0,0,1,0,5,1,2,0,0,0,0,0,0,8,52,1,0,0,0,4,2,0,63,47,0,0,0,3,0,5,3,2,0,0,0,0,0,0
Marouane Fellaini, Belgium,M,16,612,1,0,4,0,10,7,3,522,393,3,3,14,15,18,38,26,13,0,0,0,0,0,0,28,1599,9,1,1,0,23,7,3,1365,1057,4,5,30,55,52,94,29,41,0,0,0,0,0,0,44,2211,10,1,5,0,33,14,6,1887,1450,7,8,44,70,70,132,55,54,0,0,0,0,0,0
Martin Kelly, England,D,15,1194,1,0,0,0,5,2,0,536,343,6,11,9,19,63,27,36,8,0,0,0,0,0,0,29,2128,4,0,0,2,3,0,0,1121,626,36,17,25,46,131,56,39,19,0,0,0,0,0,0,44,3322,5,0,0,2,8,2,0,1657,969,42,28,34,65,194,83,75,27,0,0,0,0,0,0
Martin Olsson, Sweden,D,36,3154,7,0,0,1,18,1,2,1945,1144,163,4,31,34,67,47,34,27,0,0,0,0,0,0,15,1253,2,0,2,0,9,4,0,880,496,59,4,10,10,49,21,21,12,0,0,0,0,0,0,51,4407,9,0,2,1,27,5,2,2825,1640,222,8,41,44,116,68,55,39,0,0,0,0,0,0
Mason Holgate, England,D,15,1183,3,0,0,0,6,2,1,749,475,12,9,23,23,82,33,41,12,0,0,0,0,0,0,18,1371,2,0,0,1,6,3,0,1030,643,48,5,21,41,67,33,26,12,0,0,0,0,0,0,33,2554,5,0,0,1,12,5,1,1779,1118,60,14,44,64,149,66,67,24,0,0,0,0,0,0
Matt Phillips, Scotland,M,30,2097,3,0,2,2,28,8,11,1085,497,164,1,24,27,26,35,37,14,0,0,0,0,0,0,27,2193,2,0,4,8,47,10,3,1097,486,144,3,19,22,25,37,51,12,0,0,0,0,0,0,57,4290,5,0,6,10,75,18,14,2182,983,308,4,43,49,51,72,88,26,0,0,0,0,0,0
Matt Targett, England,D,2,167,0,0,0,0,0,0,0,137,80,8,2,3,6,6,1,2,1,0,0,0,0,0,0,5,374,0,0,0,0,2,0,0,317,205,25,0,8,10,10,8,5,1,0,0,0,0,0,0,7,541,0,0,0,0,2,0,0,454,285,33,2,11,16,16,9,7,2,0,0,0,0,0,0
Matteo Darmian, Italy,D,8,444,0,0,0,0,2,0,0,321,195,6,3,7,16,22,6,6,5,0,0,0,0,0,0,18,1333,3,0,0,0,2,0,1,993,595,19,2,39,42,71,25,14,19,0,0,0,0,0,0,26,1777,3,0,0,0,4,0,1,1314,790,25,5,46,58,93,31,20,24,0,0,0,0,0,0
Matthew Lowton, England,D,26,2295,1,0,0,3,4,1,1,1521,823,71,15,39,55,112,34,29,19,0,0,0,0,0,0,36,3240,9,0,0,2,6,2,0,2158,1084,115,28,65,101,176,53,37,34,0,0,0,0,0,0,62,5535,10,0,0,5,10,3,1,3679,1907,186,43,104,156,288,87,66,53,0,0,0,0,0,0
Matty James, England,M,13,994,2,0,0,0,11,2,0,581,446,2,2,17,19,24,20,15,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,995,2,0,0,0,11,2,0,581,446,2,2,17,19,24,20,15,21,0,0,0,0,0,0
Maya Yoshida, Japan,D,24,2051,2,1,2,0,19,4,0,1378,1062,2,14,41,27,130,67,39,19,0,0,0,0,0,0,23,2070,2,0,1,0,15,7,1,1468,1126,8,14,47,30,144,75,56,18,0,0,0,0,0,0,47,4121,4,1,3,0,34,11,1,2846,2188,10,28,88,57,274,142,95,37,0,0,0,0,0,0
Mesut Ozil, Germany,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2847,2,0,8,9,40,18,20,2647,2110,187,1,15,26,9,7,16,14,0,0,0,0,0,0,33,2847,2,0,8,9,40,18,20,2647,2110,187,1,15,26,9,7,16,14,0,0,0,0,0,0
Michael Carrick, England,M,2,109,0,0,0,0,2,1,0,113,99,0,0,1,1,3,0,2,1,0,0,0,0,0,0,23,1599,2,0,0,0,8,0,0,1460,1263,4,8,41,26,37,10,8,5,0,0,0,0,0,0,25,1708,2,0,0,0,10,1,0,1573,1362,4,8,42,27,40,10,10,6,0,0,0,0,0,0
Michael Keane, England,D,30,2560,3,0,0,1,15,1,4,1593,1157,4,28,53,33,206,129,87,21,0,0,0,0,0,0,35,3150,4,0,2,1,23,8,1,1626,1128,3,44,63,28,260,152,78,14,0,0,0,0,0,0,65,5710,7,0,2,2,38,9,5,3219,2285,7,72,116,61,466,281,165,35,0,0,0,0,0,0
Michail Antonio, England,M,21,1358,1,0,3,1,34,15,7,850,385,55,0,13,15,14,43,55,17,0,0,0,0,0,0,29,2439,4,1,9,3,77,23,20,1397,638,94,2,27,32,38,57,104,31,0,0,0,0,0,0,50,3797,5,1,12,4,111,38,27,2247,1023,149,2,40,47,52,100,159,48,0,0,0,0,0,0
Michel Vorm, Netherlands,GK,1,90,0,0,0,0,0,0,0,32,24,0,0,0,0,1,0,0,0,0,1,4,0,0,9,5,415,0,0,0,0,0,0,0,171,134,0,0,0,1,2,0,0,0,2,2,7,0,1,28,6,505,0,0,0,0,0,0,0,203,158,0,0,0,1,3,0,0,0,2,3,11,0,1,37
Michy Batshuayi, Belgium,F,12,353,0,0,2,1,13,5,6,157,96,0,0,1,5,3,7,14,4,0,0,0,0,0,0,20,239,0,0,5,1,17,8,4,145,80,2,0,2,2,1,3,5,9,0,0,0,0,0,0,32,592,0,0,7,2,30,13,10,302,176,2,0,3,7,4,10,19,13,0,0,0,0,0,0
Miguel Britos, Uruguay,D,12,798,3,1,1,0,4,2,0,510,388,5,1,12,15,44,27,19,8,0,0,0,0,0,0,27,2283,6,2,1,2,18,5,2,1416,1025,12,18,49,34,144,86,45,36,0,0,0,0,0,0,39,3081,9,3,2,2,22,7,2,1926,1413,17,19,61,49,188,113,64,44,0,0,0,0,0,0
Mike van der Hoorn, Netherlands,D,24,1949,4,0,1,0,10,5,0,1179,858,8,14,39,32,123,57,45,22,0,0,0,0,0,0,8,661,1,0,1,0,4,2,0,440,324,0,7,18,9,56,24,14,12,0,0,0,0,0,0,32,2610,5,0,2,0,14,7,0,1619,1182,8,21,57,41,179,81,59,34,0,0,0,0,0,0
Mohamed Elneny, Egypt,M,13,869,3,1,0,1,8,1,1,943,837,8,0,10,12,12,6,13,4,0,0,0,0,0,0,14,694,1,0,0,1,15,2,0,705,616,8,0,8,22,5,5,5,10,0,0,0,0,0,0,27,1563,4,1,0,2,23,3,1,1648,1453,16,0,18,34,17,11,18,14,0,0,0,0,0,0
Morgan Schneiderlin, France,M,30,2128,5,1,0,0,5,0,0,1439,1130,8,7,61,58,59,37,37,39,0,0,0,0,0,0,17,1070,2,0,1,0,8,3,0,1027,866,1,4,31,26,28,18,28,21,0,0,0,0,0,0,47,3198,7,1,1,0,13,3,0,2466,1996,9,11,92,84,87,55,65,60,0,0,0,0,0,0
Mousa Dembele, Belgium,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2065,5,0,1,1,15,3,0,1865,1479,3,5,25,64,20,23,21,45,0,0,0,0,0,0,30,2065,5,0,1,1,15,3,0,1865,1479,3,5,25,64,20,23,21,45,0,0,0,0,0,0
Moussa Sissoko, France,M,33,1394,3,0,1,1,19,8,3,1083,869,19,1,9,23,21,16,17,23,0,0,0,0,0,0,25,902,3,0,0,2,17,3,2,665,453,34,1,7,14,11,12,20,21,0,0,0,0,0,0,58,2296,6,0,1,3,36,11,5,1748,1322,53,2,16,37,32,28,37,44,0,0,0,0,0,0
Nacer Chadli, Belgium,M,5,216,1,0,1,0,4,2,0,100,69,7,0,0,1,3,1,2,1,0,0,0,0,0,0,31,2147,2,0,5,5,47,18,3,1020,662,57,3,22,29,10,19,31,17,0,0,0,0,0,0,36,2363,3,0,6,5,51,20,3,1120,731,64,3,22,30,13,20,33,18,0,0,0,0,0,0
Nacho Monreal, Spain,D,28,2242,3,0,5,2,22,8,2,2124,1719,31,8,56,54,74,62,63,19,0,0,0,0,0,0,36,3153,5,0,0,2,12,2,7,2575,1753,63,11,88,90,99,57,61,33,0,0,0,0,0,0,64,5395,8,0,5,4,34,10,9,4699,3472,94,19,144,144,173,119,124,52,0,0,0,0,0,0
Nathan Ake, Netherlands,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,831,1,0,3,1,7,4,0,564,405,2,8,11,22,76,21,18,4,0,0,0,0,0,0,12,831,1,0,3,1,7,4,0,564,405,2,8,11,22,76,21,18,4,0,0,0,0,0,0
Nathan Dyer, England,M,24,1312,2,0,0,0,10,2,1,775,512,33,0,11,22,2,5,29,17,0,0,0,0,0,0,8,211,0,0,0,1,3,1,0,153,102,6,0,3,3,1,1,2,4,0,0,0,0,0,0,32,1523,2,0,0,1,13,3,1,928,614,39,0,14,25,3,6,31,21,0,0,0,0,0,0
Nathan Redmond, England,M,31,1947,3,0,1,3,44,15,4,1225,799,69,0,15,32,14,4,15,19,0,0,0,0,0,0,37,2907,2,0,7,1,83,28,14,1715,1136,64,3,15,39,9,14,19,38,0,0,0,0,0,0,68,4854,5,0,8,4,127,43,18,2940,1935,133,3,30,71,23,18,34,57,0,0,0,0,0,0
Nathaniel Chalobah, England,M,6,447,1,0,0,0,12,4,1,259,182,2,5,6,9,6,11,5,3,0,0,0,0,0,0,10,159,2,0,0,1,1,1,0,131,103,0,0,2,5,4,4,1,2,0,0,0,0,0,0,16,606,3,0,0,1,13,5,1,390,285,2,5,8,14,10,15,6,5,0,0,0,0,0,0
Nathaniel Clyne, England,D,3,174,1,0,0,0,2,1,0,161,104,7,1,0,3,3,3,3,4,0,0,0,0,0,0,37,3324,0,0,0,2,26,5,1,2693,1795,97,2,43,80,54,13,43,14,0,0,0,0,0,0,40,3498,1,0,0,2,28,6,1,2854,1899,104,3,43,83,57,16,46,18,0,0,0,0,0,0
Nemanja Matic, Serbia,M,36,3119,6,0,1,1,18,3,2,3117,2601,18,13,64,70,56,57,28,33,0,0,0,0,0,0,35,2697,4,0,1,7,20,7,1,2249,1865,8,9,50,51,46,39,26,33,0,0,0,0,0,0,71,5816,10,0,2,8,38,10,3,5366,4466,26,22,114,121,102,96,54,66,0,0,0,0,0,0
NGolo Kante, France,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3139,9,0,1,1,27,7,0,2671,2122,10,4,82,127,41,19,41,53,0,0,0,0,0,0,35,3139,9,0,1,1,27,7,0,2671,2122,10,4,82,127,41,19,41,53,0,0,0,0,0,0
Nicolas Otamendi, Argentina,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2592,9,0,1,1,15,3,1,2440,1945,3,15,84,69,190,117,67,30,0,0,0,0,0,0,30,2592,9,0,1,1,15,3,1,2440,1945,3,15,84,69,190,117,67,30,0,0,0,0,0,0
Nordin Amrabat, Morocco,F,3,200,0,0,0,0,1,0,2,110,66,9,0,0,6,2,3,6,6,0,0,0,0,0,0,29,2101,4,0,0,3,29,6,2,1335,675,130,3,24,45,11,4,10,47,0,0,0,0,0,0,32,2301,4,0,0,3,30,6,4,1445,741,139,3,24,51,13,7,16,53,0,0,0,0,0,0
Oliver McBurnie, Scotland,F,11,269,0,0,0,1,5,3,0,142,99,3,0,0,4,3,22,20,4,0,0,0,0,0,0,5,77,0,0,0,0,2,1,0,42,33,1,0,0,1,0,3,10,1,0,0,0,0,0,0,16,346,0,0,0,1,7,4,0,184,132,4,0,0,5,3,25,30,5,0,0,0,0,0,0
Olivier Giroud, France,F,29,984,0,0,7,1,48,15,5,536,375,3,0,2,9,9,69,44,13,0,0,0,0,0,0,29,1194,2,0,12,3,39,20,12,553,369,3,4,8,14,17,50,40,21,0,0,0,0,0,0,58,2178,2,0,19,4,87,35,17,1089,744,6,4,10,23,26,119,84,34,0,0,0,0,0,0
Oriol Romeu, Spain,M,34,2901,11,0,1,0,27,4,3,2329,1843,6,19,69,93,72,97,82,53,0,0,0,0,0,0,35,3072,11,0,1,0,28,6,1,2596,2070,3,13,89,117,66,75,80,66,0,0,0,0,0,0,69,5973,22,0,2,0,55,10,4,4925,3913,9,32,158,210,138,172,162,119,0,0,0,0,0,0
Oumar Niasse, Senegal,F,22,1081,2,0,8,2,37,18,20,497,250,7,2,2,10,6,34,68,31,0,0,0,0,0,0,17,1095,3,0,4,1,26,8,11,474,235,13,0,1,10,13,25,44,17,0,0,0,0,0,0,39,2176,5,0,12,3,63,26,31,971,485,20,2,3,20,19,59,112,48,0,0,0,0,0,0
Pablo Zabaleta, Argentina,D,37,3291,9,0,0,1,6,1,1,2134,1153,71,13,61,96,124,58,57,33,0,0,0,0,0,0,20,1059,2,0,1,1,7,2,5,898,573,15,0,24,41,42,24,16,14,0,0,0,0,0,0,57,4350,11,0,1,2,13,3,6,3032,1726,86,13,85,137,166,82,73,47,0,0,0,0,0,0
Pape Souare, Senegal,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,269,0,0,0,0,2,0,0,197,97,15,2,10,5,12,0,5,1,0,0,0,0,0,0,3,269,0,0,0,0,2,0,0,197,97,15,2,10,5,12,0,5,1,0,0,0,0,0,0
Patrick van Aanholt, Netherlands,D,28,2185,7,0,5,1,33,11,3,1513,882,56,5,47,47,56,6,5,18,0,0,0,0,0,0,32,2498,3,0,5,1,34,13,6,1699,1001,78,9,58,43,65,10,17,15,0,0,0,0,0,0,60,4683,10,0,10,2,67,24,9,3212,1883,134,14,105,90,121,16,22,33,0,0,0,0,0,0
Paul Pogba, France,M,27,2151,5,1,6,10,76,18,3,2224,1721,28,0,21,33,25,51,30,44,0,0,0,0,0,0,30,2608,7,0,5,4,92,32,3,2841,2178,39,4,33,53,42,83,54,62,0,0,0,0,0,0,57,4759,12,1,11,14,168,50,6,5065,3899,67,4,54,86,67,134,84,106,0,0,0,0,0,0
Pedro, Spain,F,31,1523,1,0,4,2,56,20,15,966,654,46,1,13,20,6,0,18,9,0,0,0,0,0,0,35,2151,6,0,9,9,59,17,8,1446,947,72,1,21,48,11,7,21,33,0,0,0,0,0,0,66,3674,7,0,13,11,115,37,23,2412,1601,118,2,34,68,17,7,39,42,0,0,0,0,0,0
Pedro Obiang, Spain,M,21,1562,3,0,2,0,13,5,0,1040,757,8,16,24,53,19,20,27,27,0,0,0,0,0,0,22,1766,7,0,1,1,9,2,0,1208,911,8,7,33,61,29,22,24,27,0,0,0,0,0,0,43,3328,10,0,3,1,22,7,0,2248,1668,16,23,57,114,48,42,51,54,0,0,0,0,0,0
Per Mertesacker, Germany,D,6,365,0,0,1,0,2,2,0,294,247,0,3,6,2,21,23,7,2,0,0,0,0,0,0,1,37,0,0,0,0,0,0,0,16,8,0,2,1,2,2,1,0,0,0,0,0,0,0,0,7,402,0,0,1,0,2,2,0,310,255,0,5,7,4,23,24,7,2,0,0,0,0,0,0
Peter Crouch, England,F,31,1555,4,0,5,2,23,9,14,811,634,3,4,1,2,31,243,132,40,0,0,0,0,0,0,27,1335,3,0,7,2,37,16,7,706,496,0,4,3,4,26,171,70,26,0,0,0,0,0,0,58,2890,7,0,12,4,60,25,21,1517,1130,3,8,4,6,57,414,202,66,0,0,0,0,0,0
Petr Cech, Czech Republic,GK,34,3040,1,0,0,0,0,0,0,1227,811,0,0,0,1,44,15,1,0,11,48,91,20,33,225,35,3098,2,0,0,0,0,0,0,1228,844,0,0,1,0,18,5,0,3,12,37,115,10,31,252,69,6138,3,0,0,0,0,0,0,2455,1655,0,0,1,1,62,20,1,3,23,85,206,30,64,477
Phil Bardsley, Scotland,D,13,1125,5,0,0,0,2,2,0,784,418,19,6,22,17,66,29,27,22,0,0,0,0,0,0,15,1170,4,1,0,0,11,2,0,740,397,28,6,27,32,27,8,16,25,0,0,0,0,0,0,28,2295,9,1,0,0,13,4,0,1524,815,47,12,49,49,93,37,43,47,0,0,0,0,0,0
Phil Jagielka, England,D,25,2065,2,0,0,0,7,2,0,1334,966,4,20,39,33,177,67,42,8,0,0,0,0,0,0,27,2249,4,0,3,2,14,6,0,1632,1216,1,24,41,43,208,90,54,13,0,0,0,0,0,0,52,4314,6,0,3,2,21,8,0,2966,2182,5,44,80,76,385,157,96,21,0,0,0,0,0,0
Phil Jones, England,D,23,1975,2,0,0,0,2,0,0,1379,1083,2,17,41,25,129,57,22,10,0,0,0,0,0,0,18,1585,2,0,0,0,3,0,0,1059,791,1,16,27,34,138,46,21,9,0,0,0,0,0,0,41,3560,4,0,0,0,5,0,0,2438,1874,3,33,68,59,267,103,43,19,0,0,0,0,0,0
Pierre-Emile Hojbjerg, Denmark,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1299,2,0,0,0,28,4,0,1312,1001,20,5,33,44,25,17,12,19,0,0,0,0,0,0,22,1299,2,0,0,0,28,4,0,1312,1001,20,5,33,44,25,17,12,19,0,0,0,0,0,0
Ragnar Klavan, Estonia,D,19,1449,0,0,1,0,1,1,0,1379,1198,1,5,15,14,82,39,40,7,0,0,0,0,0,0,20,1408,3,0,0,0,4,2,0,1125,938,1,9,14,25,92,38,33,15,0,0,0,0,0,0,39,2857,3,0,1,0,5,3,0,2504,2136,2,14,29,39,174,77,73,22,0,0,0,0,0,0
Raheem Sterling, England,F,33,2592,3,1,18,11,87,35,19,1719,1170,39,0,9,19,7,8,24,39,0,0,0,0,0,0,33,2515,7,0,7,6,64,22,16,1650,1033,84,1,16,24,3,12,27,36,0,0,0,0,0,0,66,5107,10,1,25,17,151,57,35,3369,2203,123,1,25,43,10,20,51,75,0,0,0,0,0,0
Ramadan Sobhi, Egypt,M,24,1234,2,0,2,0,13,6,3,673,421,16,0,14,32,12,11,17,14,0,0,0,0,0,0,17,848,2,0,0,1,4,1,3,469,299,7,1,8,22,0,3,8,10,0,0,0,0,0,0,41,2082,4,0,2,1,17,7,6,1142,720,23,1,22,54,12,14,25,24,0,0,0,0,0,0
